problem_idx,description,type,gold,question,question_orig,options,solved
27,JEE Adv 2016 Paper 2,MCQ(multiple),BCD,"Let $a, \lambda, \mu \in \mathbb{R}$. Consider the system of linear equations

\[
\begin{aligned}

& a x+2 y=\lambda \\

& 3 x-2 y=\mu

\end{aligned}
\]

Which of the following statement(s) is(are) correct?","Let $a, \lambda, \mu \in \mathbb{R}$. Consider the system of linear equations

\[
\begin{aligned}

& a x+2 y=\lambda \\

& 3 x-2 y=\mu

\end{aligned}
\]

Which of the following statement(s) is(are) correct?

(A) If $a=-3$, then the system has infinitely many solutions for all values of $\lambda$ and $\mu$

(B) If $a \neq-3$, then the system has a unique solution for all values of $\lambda$ and $\mu$

(C) If $\lambda+\mu=0$, then the system has infinitely many solutions for $a=-3$

(D) If $\lambda+\mu \neq 0$, then the system has no solution for $\alpha=-3$","{""A"": ""If $a=-3$, then the system has infinitely many solutions for all values of $\\lambda$ and $\\mu$"", ""B"": ""If $a \\neq-3$, then the system has a unique solution for all values of $\\lambda$ and $\\mu$"", ""C"": ""If $\\lambda+\\mu=0$, then the system has infinitely many solutions for $a=-3$"", ""D"": ""If $\\lambda+\\mu \\neq 0$, then the system has no solution for $\\alpha=-3$""}",no
28,JEE Adv 2016 Paper 2,MCQ(multiple),BC,Let $\hat{u}=u_{1} \hat{i}+u_{2} \hat{j}+u_{3} \hat{k}$ be a unit vector in $\mathbb{R}^{3}$ and $\hat{w}=\frac{1}{\sqrt{6}}(\hat{i}+\hat{j}+2 \hat{k})$. Given that there exists a vector $\vec{v}$ in $\mathbb{R}^{3}$ such that $|\hat{u} \times \vec{v}|=1$ and $\hat{w} \cdot(\hat{u} \times \vec{v})=1$. Which of the following statementís) is(are) correct?,"Let $\hat{u}=u_{1} \hat{i}+u_{2} \hat{j}+u_{3} \hat{k}$ be a unit vector in $\mathbb{R}^{3}$ and $\hat{w}=\frac{1}{\sqrt{6}}(\hat{i}+\hat{j}+2 \hat{k})$. Given that there exists a vector $\vec{v}$ in $\mathbb{R}^{3}$ such that $|\hat{u} \times \vec{v}|=1$ and $\hat{w} \cdot(\hat{u} \times \vec{v})=1$. Which of the following statementís) is(are) correct?

(A) There is exactly one choice for such $\vec{v}$

(B) There are infinitely many choices for such $\vec{v}$

(C) If $\hat{u}$ lies in the $x y$-plane then $\left|u_{1}\right|=\left|u_{2}\right|$

(D) If $\hat{u}$ lies in the $x z$-plane then $2\left|u_{1}\right|=\left|u_{3}\right|$","{""A"": ""There is exactly one choice for such $\\vec{v}$"", ""B"": ""There are infinitely many choices for such $\\vec{v}$"", ""C"": ""If $\\hat{u}$ lies in the $x y$-plane then $\\left|u_{1}\\right|=\\left|u_{2}\\right|$"", ""D"": ""If $\\hat{u}$ lies in the $x z$-plane then $2\\left|u_{1}\\right|=\\left|u_{3}\\right|$""}",no
29,JEE Adv 2017 Paper 1,MCQ(multiple),ABC,"If $2 x-y+1=0$ is a tangent to the hyperbola $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{16}=1$, then which of the following CANNOT be sides of a right angled triangle?","If $2 x-y+1=0$ is a tangent to the hyperbola $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{16}=1$, then which of the following CANNOT be sides of a right angled triangle?

[A] $a, 4,1$

[B] $a, 4,2$

[C] $2 a, 8,1$

[D] $2 a, 4,1$","{""A"": ""$a, 4,1$"", ""B"": ""$a, 4,2$"", ""C"": ""$2 a, 8,1$"", ""D"": ""$2 a, 4,1$""}",no
30,JEE Adv 2017 Paper 1,MCQ(multiple),C,"If a chord, which is not a tangent, of the parabola $y^{2}=16 x$ has the equation $2 x+y=p$, and midpoint $(h, k)$, then which of the following is(are) possible value(s) of $p, h$ and $k$ ?","If a chord, which is not a tangent, of the parabola $y^{2}=16 x$ has the equation $2 x+y=p$, and midpoint $(h, k)$, then which of the following is(are) possible value(s) of $p, h$ and $k$ ?

[A] $p=-2, h=2, k=-4$

[B] $p=-1, h=1, k=-3$

[C] $p=2, h=3, k=-4$

[D] $p=5, h=4, k=-3$","{""A"": ""$p=-2, h=2, k=-4$"", ""B"": ""$p=-1, h=1, k=-3$"", ""C"": ""$p=2, h=3, k=-4$"", ""D"": ""$p=5, h=4, k=-3$""}",no
31,JEE Adv 2017 Paper 1,MCQ(multiple),AB,"Let $f: \mathbb{R} \rightarrow(0,1)$ be a continuous function. Then, which of the following function(s) has(have) the value zero at some point in the interval $(0,1)$ ?","Let $f: \mathbb{R} \rightarrow(0,1)$ be a continuous function. Then, which of the following function(s) has(have) the value zero at some point in the interval $(0,1)$ ?

[A] $x^{9}-f(x)$

[B] $x-\int_{0}^{\frac{\pi}{2}-x} f(t) \cos t d t$

[C] e^{x}-\int_{0}^{x} f(t) \sin t d t$

[D] f(x)+\int_{0}^{\frac{\pi}{2}} f(t) \sin t d t$","{""A"": ""$x^{9}-f(x)$"", ""B"": ""$x-\\int_{0}^{\\frac{\\pi}{2}-x} f(t) \\cos t d t$"", ""C"": ""e^{x}-\\int_{0}^{x} f(t) \\sin t d t$"", ""D"": ""f(x)+\\int_{0}^{\\frac{\\pi}{2}} f(t) \\sin t d t$""}",no
32,JEE Adv 2017 Paper 1,MCQ(multiple),BD,Which of the following is(are) NOT the square of a $3 \times 3$ matrix with real entries?,"Which of the following is(are) NOT the square of a $3 \times 3$ matrix with real entries?

[A]$\left[\begin{array}{lll}1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1\end{array}\right]

[B]$\left[\begin{array}{ccc}1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & -1\end{array}\right]$

[C]$\left[\begin{array}{ccc}1 & 0 & 0 \\ 0 & -1 & 0 \\ 0 & 0 & -1\end{array}\right]

[D]$\left[\begin{array}{ccc}-1 & 0 & 0 \\ 0 & -1 & 0 \\ 0 & 0 & -1\end{array}\right]$","{""A"": ""$\\left[\\begin{array}{lll}1 & 0 & 0 \\\\ 0 & 1 & 0 \\\\ 0 & 0 & 1\\end{array}\\right]"", ""B"": ""$\\left[\\begin{array}{ccc}1 & 0 & 0 \\\\ 0 & 1 & 0 \\\\ 0 & 0 & -1\\end{array}\\right]$"", ""C"": ""$\\left[\\begin{array}{ccc}1 & 0 & 0 \\\\ 0 & -1 & 0 \\\\ 0 & 0 & -1\\end{array}\\right]"", ""D"": ""$\\left[\\begin{array}{ccc}-1 & 0 & 0 \\\\ 0 & -1 & 0 \\\\ 0 & 0 & -1\\end{array}\\right]$""}",no
33,JEE Adv 2017 Paper 1,MCQ(multiple),AB,"Let $a, b, x$ and $y$ be real numbers such that $a-b=1$ and $y \neq 0$. If the complex number $z=x+i y$ satisfies $\operatorname{Im}\left(\frac{a z+b}{z+1}\right)=\mathrm{y}$, then which of the following is(are) possible value(s) of $x ?$","Let $a, b, x$ and $y$ be real numbers such that $a-b=1$ and $y \neq 0$. If the complex number $z=x+i y$ satisfies $\operatorname{Im}\left(\frac{a z+b}{z+1}\right)=\mathrm{y}$, then which of the following is(are) possible value(s) of $x ?$

[A]$-1+\sqrt{1-y^{2}}$

[B]$-1-\sqrt{1-y^{2}}$

[C]$1+\sqrt{1+y^{2}}$

[D]$1-\sqrt{1+y^{2}}$","{""A"": ""$-1+\\sqrt{1-y^{2}}$"", ""B"": ""$-1-\\sqrt{1-y^{2}}$"", ""C"": ""$1+\\sqrt{1+y^{2}}$"", ""D"": ""$1-\\sqrt{1+y^{2}}$""}",no
34,JEE Adv 2017 Paper 1,MCQ(multiple),AB,"Let $X$ and $Y$ be two events such that $P(X)=\frac{1}{3}, P(X \mid Y)=\frac{1}{2}$ and $P(Y \mid X)=\frac{2}{5}$. Then","Let $X$ and $Y$ be two events such that $P(X)=\frac{1}{3}, P(X \mid Y)=\frac{1}{2}$ and $P(Y \mid X)=\frac{2}{5}$. Then

[A] $P(Y)=\frac{4}{15}$

[B] $P\left(X^{\prime} \mid Y\right)=\frac{1}{2}$

[C] \quad P(X \cap Y)=\frac{1}{5}$

[D] $P(X \cup Y)=\frac{2}{5}$","{""A"": ""$P(Y)=\\frac{4}{15}$"", ""B"": ""$P\\left(X^{\\prime} \\mid Y\\right)=\\frac{1}{2}$"", ""C"": ""\\quad P(X \\cap Y)=\\frac{1}{5}$"", ""D"": ""$P(X \\cup Y)=\\frac{2}{5}$""}",no
35,JEE Adv 2017 Paper 1,Integer,2,"For how many values of $p$, the circle $x^{2}+y^{2}+2 x+4 y-p=0$ and the coordinate axes have exactly three common points?","For how many values of $p$, the circle $x^{2}+y^{2}+2 x+4 y-p=0$ and the coordinate axes have exactly three common points?",,no
36,JEE Adv 2017 Paper 1,Integer,2,"Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function such that $f(0)=0, f\left(\frac{\pi}{2}\right)=3$ and $f^{\prime}(0)=1$. If

\[
g(x)=\int_{x}^{\frac{\pi}{2}}\left[f^{\prime}(t) \operatorname{cosec} t-\cot t \operatorname{cosec} t f(t)\right] d t
\]

for $x \in\left(0, \frac{\pi}{2}\right]$, then what is the $\lim _{x \rightarrow 0} g(x)$?","Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function such that $f(0)=0, f\left(\frac{\pi}{2}\right)=3$ and $f^{\prime}(0)=1$. If

\[
g(x)=\int_{x}^{\frac{\pi}{2}}\left[f^{\prime}(t) \operatorname{cosec} t-\cot t \operatorname{cosec} t f(t)\right] d t
\]

for $x \in\left(0, \frac{\pi}{2}\right]$, then what is the $\lim _{x \rightarrow 0} g(x)$?",,no
37,JEE Adv 2017 Paper 1,Integer,1,"For a real number $\alpha$, if the system

\[
\left[\begin{array}{ccc}

1 & \alpha & \alpha^{2} \\

\alpha & 1 & \alpha \\

\alpha^{2} & \alpha & 1

\end{array}\right]\left[\begin{array}{l}

x \\

y \\

z

\end{array}\right]=\left[\begin{array}{r}

1 \\

-1 \\

1

\end{array}\right]
\]

of linear equations, has infinitely many solutions, then what is the value of $1+\alpha+\alpha^{2}$?","For a real number $\alpha$, if the system

\[
\left[\begin{array}{ccc}

1 & \alpha & \alpha^{2} \\

\alpha & 1 & \alpha \\

\alpha^{2} & \alpha & 1

\end{array}\right]\left[\begin{array}{l}

x \\

y \\

z

\end{array}\right]=\left[\begin{array}{r}

1 \\

-1 \\

1

\end{array}\right]
\]

of linear equations, has infinitely many solutions, then what is the value of $1+\alpha+\alpha^{2}$?",,no
38,JEE Adv 2017 Paper 1,Integer,5,"Words of length 10 are formed using the letters $A, B, C, D, E, F, G, H, I, J$. Let $x$ be the number of such words where no letter is repeated; and let $y$ be the number of such words where exactly one letter is repeated twice and no other letter is repeated. Then, what is the value of $\frac{y}{9 x}$?","Words of length 10 are formed using the letters $A, B, C, D, E, F, G, H, I, J$. Let $x$ be the number of such words where no letter is repeated; and let $y$ be the number of such words where exactly one letter is repeated twice and no other letter is repeated. Then, what is the value of $\frac{y}{9 x}$?",,no
39,JEE Adv 2017 Paper 1,Integer,6,"The sides of a right angled triangle are in arithmetic progression. If the triangle has area 24, then what is the length of its smallest side?","The sides of a right angled triangle are in arithmetic progression. If the triangle has area 24, then what is the length of its smallest side?",,no
40,JEE Adv 2017 Paper 2,MCQ,C,"The equation of the plane passing through the point $(1,1,1)$ and perpendicular to the planes $2 x+y-2 z=5$ and $3 x-6 y-2 z=7$, is","The equation of the plane passing through the point $(1,1,1)$ and perpendicular to the planes $2 x+y-2 z=5$ and $3 x-6 y-2 z=7$, is

[A] $14 x+2 y-15 z=1$

[B] $14 x-2 y+15 z=27$

[C] $\quad 14 x+2 y+15 z=31$

[D] $-14 x+2 y+15 z=3$","{""A"": ""$14 x+2 y-15 z=1$"", ""B"": ""$14 x-2 y+15 z=27$"", ""C"": ""$\\quad 14 x+2 y+15 z=31$"", ""D"": ""$-14 x+2 y+15 z=3$""}",no
41,JEE Adv 2017 Paper 2,MCQ,D,"Let $O$ be the origin and let $P Q R$ be an arbitrary triangle. The point $S$ is such that

\[
\overrightarrow{O P} \cdot \overrightarrow{O Q}+\overrightarrow{O R} \cdot \overrightarrow{O S}=\overrightarrow{O R} \cdot \overrightarrow{O P}+\overrightarrow{O Q} \cdot \overrightarrow{O S}=\overrightarrow{O Q} \cdot \overrightarrow{O R}+\overrightarrow{O P} \cdot \overrightarrow{O S}
\]

Then the triangle $P Q R$ has $S$ as its","Let $O$ be the origin and let $P Q R$ be an arbitrary triangle. The point $S$ is such that

\[
\overrightarrow{O P} \cdot \overrightarrow{O Q}+\overrightarrow{O R} \cdot \overrightarrow{O S}=\overrightarrow{O R} \cdot \overrightarrow{O P}+\overrightarrow{O Q} \cdot \overrightarrow{O S}=\overrightarrow{O Q} \cdot \overrightarrow{O R}+\overrightarrow{O P} \cdot \overrightarrow{O S}
\]

Then the triangle $P Q R$ has $S$ as its

[A] centroid

[B] circumcentre

[C] incentre

[D] orthocenter","{""A"": ""centroid"", ""B"": ""circumcentre"", ""C"": ""incentre"", ""D"": ""orthocenter""}",no
42,JEE Adv 2017 Paper 2,MCQ,A,"If $y=y(x)$ satisfies the differential equation
\[
8 \sqrt{x}(\sqrt{9+\sqrt{x}}) d y=(\sqrt{4+\sqrt{9+\sqrt{x}}})^{-1} d x, \quad x>0
\]

and $y(0)=\sqrt{7}$, then $y(256)=$","If $y=y(x)$ satisfies the differential equation
\[
8 \sqrt{x}(\sqrt{9+\sqrt{x}}) d y=(\sqrt{4+\sqrt{9+\sqrt{x}}})^{-1} d x, \quad x>0
\]

and $y(0)=\sqrt{7}$, then $y(256)=$

[A] 3

[B] 9

[C] 16

[D] 80","{""A"": ""3"", ""B"": ""9"", ""C"": ""16"", ""D"": ""80""}",no
43,JEE Adv 2017 Paper 2,MCQ,D,"If $f: \mathbb{R} \rightarrow \mathbb{R}$ is a twice differentiable function such that $f^{\prime \prime}(x)>0$ for all $x \in \mathbb{R}$, and $f\left(\frac{1}{2}\right)=\frac{1}{2}, f(1)=1$, then","If $f: \mathbb{R} \rightarrow \mathbb{R}$ is a twice differentiable function such that $f^{\prime \prime}(x)>0$ for all $x \in \mathbb{R}$, and $f\left(\frac{1}{2}\right)=\frac{1}{2}, f(1)=1$, then

[A] $f^{\prime}(1) \leq 0$

[B] $0<f^{\prime}(1) \leq \frac{1}{2}$

[C] $\frac{1}{2}<f^{\prime}(1) \leq 1$

[D] $f^{\prime}(1)>1$","{""A"": ""$f^{\\prime}(1) \\leq 0$"", ""B"": ""$0<f^{\\prime}(1) \\leq \\frac{1}{2}$"", ""C"": ""$\\frac{1}{2}<f^{\\prime}(1) \\leq 1$"", ""D"": ""$f^{\\prime}(1)>1$""}",no
44,JEE Adv 2017 Paper 2,MCQ,B,"How many $3 \times 3$ matrices $M$ with entries from $\{0,1,2\}$ are there, for which the sum of the diagonal entries of $M^{T} M$ is $5 ?$","How many $3 \times 3$ matrices $M$ with entries from $\{0,1,2\}$ are there, for which the sum of the diagonal entries of $M^{T} M$ is $5 ?$

[A] 126

[B] 198

[C] 162

[D] 135","{""A"": ""126"", ""B"": ""198"", ""C"": ""162"", ""D"": ""135""}",no
45,JEE Adv 2017 Paper 2,MCQ,D,"Let $S=\{1,2,3, \ldots, 9\}$. For $k=1,2, \ldots, 5$, let $N_{k}$ be the number of subsets of $S$, each containing five elements out of which exactly $k$ are odd. Then $N_{1}+N_{2}+N_{3}+N_{4}+N_{5}=$","Let $S=\{1,2,3, \ldots, 9\}$. For $k=1,2, \ldots, 5$, let $N_{k}$ be the number of subsets of $S$, each containing five elements out of which exactly $k$ are odd. Then $N_{1}+N_{2}+N_{3}+N_{4}+N_{5}=$

[A] 210

[B] 252

[C] 125

[D] 126","{""A"": ""210"", ""B"": ""252"", ""C"": ""125"", ""D"": ""126""}",no
46,JEE Adv 2017 Paper 2,MCQ,B,"Three randomly chosen nonnegative integers $x, y$ and $z$ are found to satisfy the equation $x+y+z=10$. Then the probability that $z$ is even, is","Three randomly chosen nonnegative integers $x, y$ and $z$ are found to satisfy the equation $x+y+z=10$. Then the probability that $z$ is even, is

[A] $\frac{36}{55}$

[B] $\frac{6}{11}$

[C] $\frac{1}{2}$

[D] $\frac{5}{11}$","{""A"": ""$\\frac{36}{55}$"", ""B"": ""$\\frac{6}{11}$"", ""C"": ""$\\frac{1}{2}$"", ""D"": ""$\\frac{5}{11}$""}",no
47,JEE Adv 2017 Paper 2,MCQ(multiple),AC,"If $f: \mathbb{R} \rightarrow \mathbb{R}$ is a differentiable function such that $f^{\prime}(x)>2 f(x)$ for all $x \in \mathbb{R}$, and $f(0)=1$, then","If $f: \mathbb{R} \rightarrow \mathbb{R}$ is a differentiable function such that $f^{\prime}(x)>2 f(x)$ for all $x \in \mathbb{R}$, and $f(0)=1$, then

[A] $f(x)$ is increasing in $(0, \infty)$

[B] $f(x)$ is decreasing in $(0, \infty)$

[C] $\quad f(x)>e^{2 x}$ in $(0, \infty)$

[D] $f^{\prime}(x)<e^{2 x}$ in $(0, \infty)$","{""A"": ""$f(x)$ is increasing in $(0, \\infty)$"", ""B"": ""$f(x)$ is decreasing in $(0, \\infty)$"", ""C"": ""$\\quad f(x)>e^{2 x}$ in $(0, \\infty)$"", ""D"": ""$f^{\\prime}(x)<e^{2 x}$ in $(0, \\infty)$""}",no
48,JEE Adv 2017 Paper 2,MCQ(multiple),AD,Let $f(x)=\frac{1-x(1+|1-x|)}{|1-x|} \cos \left(\frac{1}{1-x}\right)$ for $x \neq 1$. Then,"Let $f(x)=\frac{1-x(1+|1-x|)}{|1-x|} \cos \left(\frac{1}{1-x}\right)$ for $x \neq 1$. Then

[A] $\lim _{x \rightarrow 1^{-}} f(x)=0$

[B] $\lim _{x \rightarrow 1^{-}} f(x)$ does not exist

[C] $\lim _{x \rightarrow 1^{+}} f(x)=0$

[D] $\lim _{x \rightarrow 1^{+}} f(x)$ does not exist","{""A"": ""$\\lim _{x \\rightarrow 1^{-}} f(x)=0$"", ""B"": ""$\\lim _{x \\rightarrow 1^{-}} f(x)$ does not exist"", ""C"": ""$\\lim _{x \\rightarrow 1^{+}} f(x)=0$"", ""D"": ""$\\lim _{x \\rightarrow 1^{+}} f(x)$ does not exist""}",no
49,JEE Adv 2017 Paper 2,MCQ(multiple),BC,"If $f(x)=\left|\begin{array}{ccc}\cos (2 x) & \cos (2 x) & \sin (2 x) \\ -\cos x & \cos x & -\sin x \\ \sin x & \sin x & \cos x\end{array}\right|$, then","If $f(x)=\left|\begin{array}{ccc}\cos (2 x) & \cos (2 x) & \sin (2 x) \\ -\cos x & \cos x & -\sin x \\ \sin x & \sin x & \cos x\end{array}\right|$, then

[A] $f^{\prime}(x)=0$ at exactly three points in $(-\pi, \pi)$

[B] $f^{\prime}(x)=0$ at more than three points in $(-\pi, \pi)$

[C] $f(x)$ attains its maximum at $x=0$

[D] $f(x)$ attains its minimum at $x=0$","{""A"": ""$f^{\\prime}(x)=0$ at exactly three points in $(-\\pi, \\pi)$"", ""B"": ""$f^{\\prime}(x)=0$ at more than three points in $(-\\pi, \\pi)$"", ""C"": ""$f(x)$ attains its maximum at $x=0$"", ""D"": ""$f(x)$ attains its minimum at $x=0$""}",no
50,JEE Adv 2017 Paper 2,MCQ(multiple),BC,"If the line $x=\alpha$ divides the area of region $R=\left\{(x, y) \in \mathbb{R}^{2}: x^{3} \leq y \leq x, 0 \leq x \leq 1\right\}$ into two equal parts, then","If the line $x=\alpha$ divides the area of region $R=\left\{(x, y) \in \mathbb{R}^{2}: x^{3} \leq y \leq x, 0 \leq x \leq 1\right\}$ into two equal parts, then

[A] $0<\alpha \leq \frac{1}{2}$

[B] $\frac{1}{2}<\alpha<1$

[C] $\quad 2 \alpha^{4}-4 \alpha^{2}+1=0$

[D] $\alpha^{4}+4 \alpha^{2}-1=0$","{""A"": ""$0<\\alpha \\leq \\frac{1}{2}$"", ""B"": ""$\\frac{1}{2}<\\alpha<1$"", ""C"": ""$\\quad 2 \\alpha^{4}-4 \\alpha^{2}+1=0$"", ""D"": ""$\\alpha^{4}+4 \\alpha^{2}-1=0$""}",no
51,JEE Adv 2017 Paper 2,MCQ(multiple),BD,"If $I=\sum_{k=1}^{98} \int_{k}^{k+1} \frac{k+1}{x(x+1)} d x$, then","If $I=\sum_{k=1}^{98} \int_{k}^{k+1} \frac{k+1}{x(x+1)} d x$, then

[A] $I>\log _{e} 99$

[B] $I<\log _{e} 99$

[C] $I<\frac{49}{50}$

[D] $I>\frac{49}{50}$","{""A"": ""$I>\\log _{e} 99$"", ""B"": ""$I<\\log _{e} 99$"", ""C"": ""$I<\\frac{49}{50}$"", ""D"": ""$I>\\frac{49}{50}$""}",no
52,JEE Adv 2018 Paper 1,MCQ(multiple),ABD,"For a non-zero complex number $z$, let $\arg (z)$ denote the principal argument with $-\pi<\arg (z) \leq \pi$. Then, which of the following statement(s) is (are) FALSE?","For a non-zero complex number $z$, let $\arg (z)$ denote the principal argument with $-\pi<\arg (z) \leq \pi$. Then, which of the following statement(s) is (are) FALSE?

\end{itemize}

(A) $\arg (-1-i)=\frac{\pi}{4}$, where $i=\sqrt{-1}$

(B) The function $f: \mathbb{R} \rightarrow(-\pi, \pi]$, defined by $f(t)=\arg (-1+i t)$ for all $t \in \mathbb{R}$, is continuous at all points of $\mathbb{R}$, where $i=\sqrt{-1}$

(C) For any two non-zero complex numbers $z_{1}$ and $z_{2}$,

\[
\arg \left(\frac{z_{1}}{z_{2}}\right)-\arg \left(z_{1}\right)+\arg \left(z_{2}\right)
\]

is an integer multiple of $2 \pi$

(D) For any three given distinct complex numbers $z_{1}, z_{2}$ and $z_{3}$, the locus of the point $z$ satisfying the condition

\[
\arg \left(\frac{\left(z-z_{1}\right)\left(z_{2}-z_{3}\right)}{\left(z-z_{3}\right)\left(z_{2}-z_{1}\right)}\right)=\pi
\]

lies on a straight line","{""A"": ""$\\arg (-1-i)=\\frac{\\pi}{4}$, where $i=\\sqrt{-1}$"", ""B"": ""The function $f: \\mathbb{R} \\rightarrow(-\\pi, \\pi]$, defined by $f(t)=\\arg (-1+i t)$ for all $t \\in \\mathbb{R}$, is continuous at all points of $\\mathbb{R}$, where $i=\\sqrt{-1}$"", ""C"": ""For any two non-zero complex numbers $z_{1}$ and $z_{2}$,\n\n\\[\n\\arg \\left(\\frac{z_{1}}{z_{2}}\\right)-\\arg \\left(z_{1}\\right)+\\arg \\left(z_{2}\\right)\n\\]\n\nis an integer multiple of $2 \\pi$"", ""D"": ""For any three given distinct complex numbers $z_{1}, z_{2}$ and $z_{3}$, the locus of the point $z$ satisfying the condition\n\n\\[\n\\arg \\left(\\frac{\\left(z-z_{1}\\right)\\left(z_{2}-z_{3}\\right)}{\\left(z-z_{3}\\right)\\left(z_{2}-z_{1}\\right)}\\right)=\\pi\n\\]\n\nlies on a straight line""}",no
53,JEE Adv 2018 Paper 1,MCQ(multiple),BCD,"In a triangle $P Q R$, let $\angle P Q R=30^{\circ}$ and the sides $P Q$ and $Q R$ have lengths $10 \sqrt{3}$ and 10 , respectively. Then, which of the following statement(s) is (are) TRUE?","In a triangle $P Q R$, let $\angle P Q R=30^{\circ}$ and the sides $P Q$ and $Q R$ have lengths $10 \sqrt{3}$ and 10 , respectively. Then, which of the following statement(s) is (are) TRUE?

(A) $\angle Q P R=45^{\circ}$

(B) The area of the triangle $P Q R$ is $25 \sqrt{3}$ and $\angle Q R P=120^{\circ}$

(C) The radius of the incircle of the triangle $P Q R$ is $10 \sqrt{3}-15$

(D) The area of the circumcircle of the triangle $P Q R$ is $100 \pi$","{""A"": ""$\\angle Q P R=45^{\\circ}$"", ""B"": ""The area of the triangle $P Q R$ is $25 \\sqrt{3}$ and $\\angle Q R P=120^{\\circ}$"", ""C"": ""The radius of the incircle of the triangle $P Q R$ is $10 \\sqrt{3}-15$"", ""D"": ""The area of the circumcircle of the triangle $P Q R$ is $100 \\pi$""}",no
54,JEE Adv 2018 Paper 1,MCQ(multiple),CD,"Let $P_{1}: 2 x+y-z=3$ and $P_{2}: x+2 y+z=2$ be two planes. Then, which of the following statement(s) is (are) TRUE?","Let $P_{1}: 2 x+y-z=3$ and $P_{2}: x+2 y+z=2$ be two planes. Then, which of the following statement(s) is (are) TRUE?

(A) The line of intersection of $P_{1}$ and $P_{2}$ has direction ratios $1,2,-1$

(B) The line

\[
\frac{3 x-4}{9}=\frac{1-3 y}{9}=\frac{z}{3}
\]

is perpendicular to the line of intersection of $P_{1}$ and $P_{2}$

(C) The acute angle between $P_{1}$ and $P_{2}$ is $60^{\circ}$

(D) If $P_{3}$ is the plane passing through the point $(4,2,-2)$ and perpendicular to the line of intersection of $P_{1}$ and $P_{2}$, then the distance of the point $(2,1,1)$ from the plane $P_{3}$ is $\frac{2}{\sqrt{3}}$","{""A"": ""The line of intersection of $P_{1}$ and $P_{2}$ has direction ratios $1,2,-1$"", ""B"": ""The line\n\n\\[\n\\frac{3 x-4}{9}=\\frac{1-3 y}{9}=\\frac{z}{3}\n\\]\n\nis perpendicular to the line of intersection of $P_{1}$ and $P_{2}$"", ""C"": ""The acute angle between $P_{1}$ and $P_{2}$ is $60^{\\circ}$"", ""D"": ""If $P_{3}$ is the plane passing through the point $(4,2,-2)$ and perpendicular to the line of intersection of $P_{1}$ and $P_{2}$, then the distance of the point $(2,1,1)$ from the plane $P_{3}$ is $\\frac{2}{\\sqrt{3}}$""}",no
55,JEE Adv 2018 Paper 1,MCQ(multiple),ABD,"For every twice differentiable function $f: \mathbb{R} \rightarrow[-2,2]$ with $(f(0))^{2}+\left(f^{\prime}(0)\right)^{2}=85$, which of the following statement(s) is (are) TRUE?","For every twice differentiable function $f: \mathbb{R} \rightarrow[-2,2]$ with $(f(0))^{2}+\left(f^{\prime}(0)\right)^{2}=85$, which of the following statement(s) is (are) TRUE?

(A) There exist $r, s \in \mathbb{R}$, where $r<s$, such that $f$ is one-one on the open interval $(r, s)$

(B) There exists $x_{0} \in(-4,0)$ such that $\left|f^{\prime}\left(x_{0}\right)\right| \leq 1$

(C) $\lim _{x \rightarrow \infty} f(x)=1$

(D) There exists $\alpha \in(-4,4)$ such that $f(\alpha)+f^{\prime \prime}(\alpha)=0$ and $f^{\prime}(\alpha) \neq 0$","{""A"": ""There exist $r, s \\in \\mathbb{R}$, where $r<s$, such that $f$ is one-one on the open interval $(r, s)$"", ""B"": ""There exists $x_{0} \\in(-4,0)$ such that $\\left|f^{\\prime}\\left(x_{0}\\right)\\right| \\leq 1$"", ""C"": ""$\\lim _{x \\rightarrow \\infty} f(x)=1$"", ""D"": ""There exists $\\alpha \\in(-4,4)$ such that $f(\\alpha)+f^{\\prime \\prime}(\\alpha)=0$ and $f^{\\prime}(\\alpha) \\neq 0$""}",no
